Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,pIC50,MW,LogP,NumHDonors,NumHAcceptors
250,CHEMBL32039,COCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,active,7.7447274948966935,334.3760000000001,1.2742,2,8
251,CHEMBL170172,CCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,active,8.1249387366083,304.35,1.6476999999999997,2,7
252,CHEMBL368393,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCN,active,7.337242168318426,333.39200000000017,0.9765999999999999,3,8
253,CHEMBL174433,CCc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,active,8.00436480540245,288.35100000000006,1.8114,2,6
254,CHEMBL173641,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccc([N+](=O)[O-])cc1,active,8.096910013008056,411.4180000000002,2.736200000000001,2,9
255,CHEMBL367218,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCl,active,7.823908740944319,338.7950000000001,1.8665999999999998,2,7
256,CHEMBL172131,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCN1CCCCC1,active,7.337242168318426,401.51100000000037,2.5038,2,8
257,CHEMBL367061,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Oc1ccc([N+](=O)[O-])cc1,active,8.10790539730952,397.39100000000013,2.9495000000000013,2,9
258,CHEMBL174404,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCC(C)C,active,7.698970004336019,332.4040000000001,2.2838000000000003,2,7
259,CHEMBL172805,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCO,active,8.3767507096021,334.37600000000015,1.0101999999999998,3,8
260,CHEMBL366869,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCN1C(=O)c2ccccc2C1=O,active,7.7447274948966935,463.4940000000003,2.3141,2,9
261,CHEMBL174091,COc1cc(COc2c(OC)cc(Cc3cnc(N)nc3N)cc2OC)cc(OC)c1OC,active,7.698970004336019,456.49900000000025,2.8538000000000014,2,10
262,CHEMBL369057,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCCCCCN,active,7.823908740944319,375.4730000000003,2.1468999999999996,3,8
263,CHEMBL263732,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1C,active,8.130768280269024,274.324,1.5574199999999998,2,6
264,CHEMBL173709,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCO,active,7.657577319177793,320.3490000000001,0.6200999999999999,3,8
265,CHEMBL366561,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCCN1CCOCC1,active,7.853871964321762,389.4560000000003,0.9600000000000004,2,9
266,CHEMBL322001,CCOC(=O)COc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,active,7.769551078621726,362.38600000000014,1.1908999999999996,2,9
267,CHEMBL170369,CCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,active,7.886056647693163,318.37700000000007,2.0378,2,7
